Height/width [cm];Load (UDL) [kN];Displ. [cm];Beam lenght [m]
88.554695;17.710939;0.401282;8.855469
70.20813;14.041626;0.253275;7.020813
58.299934;11.659987;0.175357;5.829993
99.252353;19.850471;0.503234;9.925235
55.450232;11.090046;0.158829;5.545023
65.33402;13.066804;0.219656;6.533402
90.107023;18.021405;0.415361;9.010702
72.277334;14.455467;0.268272;7.227733
61.249158;12.249832;0.193324;6.124916
50.560333;10.112067;0.132375;5.056033
88.268367;17.653673;0.398712;8.826837
51.43718;10.287436;0.136942;5.143718
50.37806;10.075612;0.131436;5.037806
75.501121;15.100224;0.292495;7.550112
69.104749;13.82095;0.245455;6.910475
63.970439;12.794088;0.210679;6.397044
85.154415;17.030883;0.371291;8.515441
61.767287;12.353457;0.196571;6.176729
86.566096;17.313219;0.383601;8.65661
54.450078;10.890016;0.153223;5.445008
54.132449;10.82649;0.151463;5.413245
66.936259;13.387252;0.230443;6.693626
66.49561;13.299122;0.227451;6.649561
86.565848;17.31317;0.383599;8.656585
94.797671;18.959534;0.459378;9.479767
90.632508;18.126502;0.420182;9.063251
82.677429;16.535486;0.350177;8.267743
96.34181;19.268362;0.474354;9.634181
54.962071;10.992414;0.15608;5.496207
84.591457;16.918291;0.366438;8.459146
96.274003;19.254801;0.473691;sep.74
99.007041;19.801408;0.500767;9.900704
55.07099;11.014198;0.156691;5.507099
51.934251;10.38685;0.139565;5.193425
67.052736;13.410547;0.231238;6.705274
92.481981;18.496396;0.437371;9.248198
84.354645;16.870929;0.364406;8.435465
87.200107;17.440021;0.389195;8.720011
84.282283;16.856457;0.363786;8.428228
54.653066;10.930613;0.154352;5.465307
52.026055;10.405211;0.140052;5.202606
63.581009;12.716202;0.20815;6.358101
63.162556;12.632511;0.205449;6.316256
74.988974;14.997795;0.288577;7.498897
98.078495;19.615699;0.491483;9.80785
77.802273;15.560455;0.310426;7.780227
50.88015;10.17603;0.134032;5.088015
74.427029;14.885406;0.284308;7.442703
67.110623;13.422125;0.231633;6.711062
74.282674;14.856535;0.283217;7.428267
82.121601;16.42432;0.345524;8.21216
81.006387;16.201277;0.336282;8.100639
53.667267;10.733453;0.148904;5.366727
94.771094;18.954219;0.459123;9.477109
79.768638;15.953728;0.326171;7.976864
71.618436;14.323687;0.26345;7.161844
53.71252;10.742504;0.149152;5.371252
71.734086;14.346817;0.264293;7.173409
54.454682;10.890936;0.153248;5.445468
64.817723;12.963545;0.216235;6.481772
82.656591;16.531318;0.350002;8.265659
93.765213;18.753043;0.449499;9.376521
67.315263;13.463053;0.233033;6.731526
76.657701;15.33154;0.301441;7.66577
54.28633;10.857266;0.152314;5.428633
89.261326;17.852265;0.407661;8.926133
96.36619;19.273238;0.474592;9.636619
98.443808;19.688762;0.495125;9.844381
58.448385;11.689677;0.176241;5.844838
76.622768;15.324554;0.301169;7.662277
79.615794;15.923159;0.324933;7.961579
97.954308;19.590862;0.490248;9.795431
77.485004;15.497001;0.307922;jul.85
81.91303;16.382606;0.343786;8.191303
52.424023;10.484805;0.142173;5.242402
90.55144;18.110288;0.419436;9.055144
53.773703;10.754741;0.149488;5.37737
91.506636;18.301327;0.428263;9.150664
88.487353;17.697471;0.400677;8.848735
66.995397;13.399079;0.230847;6.69954
89.752358;17.950472;0.412123;8.975236
58.2504;11.65008;0.175063;5.82504
79.231187;15.846237;0.321829;7.923119
80.679397;16.135879;0.333596;8.06794
52.469856;10.493971;0.142419;5.246986
65.267616;13.053523;0.219214;6.526762
95.339774;19.067955;0.464608;9.533977
60.299896;12.059979;0.187445;6.02999
72.165613;14.433123;0.267451;7.216561
95.4343;19.08686;0.465523;9.54343
88.769461;17.753892;0.403215;8.876946
62.62056;12.524112;0.201977;6.262056
82.745425;16.549085;0.350748;8.274543
69.46456;13.892912;0.247992;6.946456
71.996475;14.399295;0.266211;7.199648
58.260842;11.652168;0.175125;5.826084
96.265747;19.253149;0.47361;9.626575
86.504855;17.300971;0.383063;8.650486
70.702644;14.140529;0.25682;7.070264
58.81717;11.763434;0.178445;5.881717
81.436084;16.287217;0.339828;8.143608
52.436342;10.487268;0.142239;5.243634
65.978644;13.195729;0.223965;6.597864
90.487855;18.097571;0.418852;9.048785
