Length [m];Hei/Wid [cm];Load [kN/m];Disp [cm]
6.691849;34.478336;12.935192;0.137481
6.422092;39.729995;16.975812;0.087055
6.314813;26.919240;18.649867;0.422117
8.126879;22.357987;11.984900;1.559622
7.317309;10.359283;15.604904;28.91784
9.641869;11.634281;11.805782;41.45148
5.731553;30.947616;12.501972;0.110232
9.752999;23.467465;19.472311;4.328462
7.980666;24.172497;13.486999;1.195033
5.587300;32.461265;13.799578;0.090878
9.877795;17.164852;15.020979;12.26608
6.854435;27.705174;18.094580;0.506477
5.349572;21.473899;16.950122;0.487696
5.353941;26.515989;10.302777;0.128194
7.410053;33.461161;10.820669;0.194617
5.764857;25.853517;19.039297;0.351967
9.820828;26.314193;11.234474;1.624663
5.476719;24.260332;18.553451;0.360282
9.062665;33.563881;17.583923;0.697808
6.253081;35.902340;14.762064;0.101904
7.406303;20.451702;12.155195;1.558392
5.373676;34.881957;15.840619;0.067081
9.184636;30.037667;14.989172;0.977506
8.896773;22.900261;10.806628;1.834750
5.949853;12.758945;19.939591;7.023944
8.710996;12.970486;14.558332;22.04951
6.164217;21.192355;15.133136;0.808359
8.928300;14.981564;15.464442;14.52401
9.639402;29.550023;13.754544;1.161539
5.539540;19.076449;14.971887;0.794448
5.165066;29.915066;12.946578;0.086322
8.851806;25.208634;12.435477;1.409522
6.538958;37.170032;15.035438;0.108011
5.569484;12.664788;10.637556;2.963952
6.942953;11.182359;16.902333;18.70129
9.898268;38.089470;18.929776;0.644712
5.860704;20.313746;15.154422;0.783574
8.942493;13.209993;14.255010;22.28582
5.997007;10.844484;18.568976;12.93140
8.982353;16.860024;16.608644;9.964244
6.718045;27.277390;18.082170;0.497044
5.525459;34.818036;15.494440;0.073844
9.898456;22.226336;18.353978;5.378678
9.196357;31.783225;16.129435;0.843693
7.716389;10.481256;14.888059;32.55682
5.989826;19.519760;14.366854;0.950323
5.191335;30.941370;13.578243;0.080768
7.677691;25.596171;15.042065;0.908519
8.176468;26.127996;14.399062;1.030099
9.410808;32.499767;16.178229;0.848808
9.954851;36.243722;17.586114;0.747159
9.861146;25.645859;10.708282;1.744591
6.268090;25.805812;18.001029;0.468169
7.533013;19.086271;10.991488;1.987665
5.980309;39.874963;17.956024;0.068344
6.318173;39.596379;17.094573;0.083261
7.237456;19.692328;11.986640;1.630255
7.418040;14.018978;17.843238;10.41724
7.177026;19.599042;12.045309;1.614601
8.606313;37.388798;11.046572;0.231831
8.477652;30.441925;16.672647;0.748540
6.803252;25.966052;17.037530;0.599551
5.113597;33.917442;15.717767;0.061087
7.441127;15.096047;18.515111;8.140946
5.422233;12.546199;10.853000;2.820945
6.025988;31.956218;12.585502;0.119234
5.315476;30.535142;13.059143;0.089960
9.780087;18.809111;16.312566;8.880178
8.410988;25.333630;13.400443;1.214229
7.511785;35.371692;11.890892;0.180951
9.904153;15.539772;13.884875;17.05691
5.878335;23.104200;16.979464;0.531434
9.479712;23.415847;19.984475;4.000326
5.080313;26.703856;10.975279;0.107713
9.535036;18.624950;16.679894;8.533288
6.880844;25.633666;16.660755;0.645835
5.475220;22.655621;17.486641;0.445720
9.988279;38.254442;18.859737;0.654574
6.180384;22.419006;15.918570;0.686318
9.960026;33.239185;15.572737;0.936725
8.519661;22.029115;10.980088;1.830762
8.486526;35.596184;10.091071;0.243639
5.751832;28.853567;11.065380;0.130832
5.228594;37.050256;17.576316;0.052519
5.584689;22.832727;17.385773;0.464909
5.303921;14.269207;12.238296;1.741384
7.583717;39.402822;14.434448;0.148367
9.005945;28.083761;14.043950;1.107743
9.589176;12.789826;12.681532;29.82853
5.624780;11.585980;19.807760;8.195715
7.660812;28.397141;16.943136;0.670012
8.442664;16.294767;17.311184;9.290872
6.765467;33.610951;12.209701;0.150052
7.390694;13.455687;17.522404;11.87602
5.504701;26.418099;19.935997;0.281227
9.914792;11.311338;11.044641;48.52572
5.411861;10.900594;19.776674;8.949103
7.457329;17.130288;19.838867;5.308403
8.774124;29.237025;15.276435;0.924501
6.690401;18.525038;12.302557;1.560266
5.674350;28.984618;11.307711;0.124391
5.411248;22.132259;17.265677;0.460979
9.266703;10.262541;11.641621;57.60079
5.664683;30.756304;12.508170;0.107881
9.506655;26.959995;12.293354;1.417013
9.076516;23.139523;10.606650;1.871294
5.381434;12.230012;10.723807;2.994979
6.187777;39.101956;17.025750;0.080234
7.997977;10.461321;14.311594;36.39557
9.099464;24.241297;11.295269;1.671498
5.842953;26.940757;19.607933;0.324505
7.249177;21.437886;13.126903;1.279785
6.237656;31.599972;11.924669;0.135569
7.217000;26.359857;16.472571;0.690972
5.086652;25.359683;10.066484;0.121988
9.991126;34.845741;16.581576;0.836377
6.051420;37.112485;15.972150;0.084795
9.885003;36.867186;18.141451;0.700044
6.856438;32.263320;11.129338;0.169833
5.118312;38.276992;18.614703;0.044899
8.442271;32.553395;18.151054;0.613146
6.309531;12.451382;19.015193;9.337735
5.190912;16.019286;13.631034;1.120889
7.786208;23.747649;13.592683;1.171480
9.850972;16.974551;14.947756;12.62472
6.461489;39.245004;16.573691;0.091452
9.112868;29.493249;14.769763;1.004242
7.089018;19.960161;12.462071;1.478216
9.575612;10.285757;11.039282;61.71455
9.620244;17.313612;15.635253;11.09814
6.468983;24.733072;16.884081;0.590054
8.017891;15.525333;17.647774;9.349186
6.214155;19.017417;13.583302;1.154895
9.489983;13.893968;13.616013;22.06173
9.285676;14.254567;14.265026;19.12346
8.108413;39.896856;13.714411;0.175139
9.219823;35.333643;18.449449;0.638719
5.087149;38.097263;18.557210;0.044512
5.721939;20.090261;15.282962;0.750539
6.508173;39.693204;16.779124;0.091066
9.922487;12.039195;11.514489;39.54553
6.395940;10.300867;17.408698;19.26506
6.007969;27.622440;19.732356;0.330315
5.489711;28.548529;11.386263;0.116618
9.781827;24.645223;10.199827;1.886384
5.411635;16.959255;13.816233;1.068417
7.205007;24.694795;15.386515;0.832010
9.548466;17.251094;15.737130;10.99886
7.304041;28.096004;17.455920;0.595414
5.513575;31.572358;13.354422;0.093169
8.863372;14.198853;15.072490;17.03910
5.526858;14.033408;11.635223;2.086097
5.600892;24.866968;18.709529;0.360025
8.655812;30.960033;16.661732;0.759856
8.248130;25.971643;14.151502;1.073745
9.364820;26.533236;12.292518;1.422158
5.220336;16.112974;13.634644;1.120385
6.480495;26.514892;18.048938;0.481212
5.813711;23.781754;17.560414;0.468580
8.045165;27.714991;15.719663;0.832932
9.963648;33.646274;15.836887;0.908721
8.292416;32.269852;18.261736;0.594727
6.612165;38.816198;15.986468;0.101017
8.377733;33.147709;18.676341;0.569218
7.630481;39.508225;14.411188;0.150195
7.825062;21.415424;11.960159;1.589254
6.035023;12.420470;19.543601;8.113866
6.747674;27.706005;18.308656;0.481284
7.931324;22.105290;12.207545;1.508232
6.978239;25.462827;16.352073;0.688607
5.771303;39.512098;18.132126;0.062126
5.964271;39.015222;17.414940;0.071520
9.163064;26.776925;12.858489;1.314727
5.348265;32.570116;14.350214;0.078349
5.195825;36.237798;17.100214;0.054427
7.046331;32.252529;10.742356;0.183047
5.301562;24.828942;19.282837;0.299865
9.701200;27.470757;12.244771;1.419839
8.004381;39.102426;13.392856;0.176015
9.439337;10.015296;11.131522;65.37146
9.256482;24.550209;11.187176;1.685179
9.564402;22.242155;19.032633;4.848521
9.784977;31.864157;15.006151;0.995515
9.062036;18.713399;17.684860;7.243641
5.756872;13.114759;10.562763;2.921766
5.942125;20.699664;15.248859;0.772798
7.416999;30.658365;18.938245;0.484737
7.558343;28.057384;16.921570;0.665350
6.241853;27.922325;19.464511;0.363460
9.920857;27.721331;11.972508;1.464104
7.888077;33.783882;10.079767;0.223914
7.739328;18.818751;10.400512;2.216898
9.273438;24.315509;10.996797;1.733969
7.676774;32.375270;19.563299;0.462198
6.544525;16.046930;10.942237;2.255811
6.630071;19.769343;13.252753;1.250183
9.783774;11.484669;11.422230;44.77678
7.630236;34.474731;11.056015;0.198406
7.859231;29.040304;16.975075;0.679838
6.956766;13.229799;18.239668;10.38546
9.376612;14.538785;14.272632;18.38386
5.457334;36.988790;17.077859;0.060901
6.617142;35.145804;13.529584;0.127386
5.325802;12.633177;11.103847;2.613205
9.742273;32.060261;15.222295;0.968336
7.899102;15.183631;17.657551;9.632517
6.363794;27.256482;18.776734;0.417052
5.252627;32.296852;14.359315;0.075453
8.459986;34.722235;19.561517;0.515079
6.201798;33.719114;13.409146;0.115017
9.063257;11.704294;13.009681;34.81805
5.519136;28.642217;11.389873;0.117622
8.476115;27.412466;14.656082;0.999415
6.374374;23.766458;16.428891;0.634754
8.788683;13.164781;14.532487;21.48941
5.399246;21.404119;16.804253;0.508234
8.507439;10.405695;13.255585;44.08317
